Id,Brand,Model,ICAO,Seats,Klassen,Engine Type,Engine Count,Flight Range,Cruising Speed,Startgewicht,Nutzlast,WTC
1,Boing,B737-100,B731,124,1,JET,2,3440,917,52390,13200,M
2,Boing,B737-200,B732,136,1,JET,2,4200,917,52390,15785,M
3,Boing,B737-300,B733,149,1,JET,2,4400,907,61236,16370,M
4,Boing,B737-400,B734,188,1,JET,2,5000,907,68039,17822,M
5,Boing,B737-500,B735,140,1,JET,2,5200,907,60555,15531,M
6,Boing,B737-600,B736,149,1,JET,2,7200,852,65091,15105,M
7,Boing,B737-700,B737,149,1,JET,2,10200,852,77564,17010,M
8,Boing,B737-800,B738,189,1,JET,2,6650,852,79016,21319,M
9,Boing,B737-900,B739,189,1,JET,2,6660,852,79016,20738,M
10,Boing,B737-900ER,B739,220,1,JET,2,6500,852,85124,20738,M
11,Boing,B737 MAX 7,B737,135,2,JET,2,7038,842,72303,17000,M
12,Boing,B737 MAX 8,B738,171,2,JET,2,6704,842,82191,21000,M
13,Boing,B737 MAX 9,B739,189,2,JET,2,6658,842,88314,22500,M
